file_name,positive_percentage,negative_percentage,neutral_percentage,positive_total,negative_total,neutral_total,total_num_of_sentiment
TheAlgorithms_Python_sentiment.csv,48.232695139911634,17.8939617083947,33.87334315169367,1965,729,1380,4074
tensorflow_models_sentiment.csv,56.84558216350124,13.674649050371594,29.47976878612717,3442,828,1785,6055
home-assistant_core_sentiment.csv,56.50040883074408,18.053965658217496,25.44562551103843,3455,1104,1556,6115
deepfakes_faceswap_sentiment.csv,60.742435799644035,15.713196033562166,23.5443681667938,2389,618,926,3933
huggingface_transformers_sentiment.csv,63.50752878653676,15.057573073516387,21.434898139946856,4302,1020,1452,6774
fastai_fastai_sentiment.csv,61.16660720656439,14.591509097395647,24.241883696039956,3429,818,1359,5606
CorentinJ_Real-Time-Voice-Cloning_sentiment.csv,57.838128529174504,15.78381285291745,26.37805861790804,2151,587,981,3719
yunjey_pytorch-tutorial_sentiment.csv,41.30434782608695,17.391304347826086,41.30434782608695,95,40,95,230
commaai_openpilot_sentiment.csv,57.14285714285714,16.116504854368934,26.740638002773924,4120,1162,1928,7210
magenta_magenta_sentiment.csv,57.16186252771619,15.609756097560975,27.228381374722836,1289,352,614,2255
mozilla_DeepSpeech_sentiment.csv,55.25221478936901,18.35111191466281,26.39667329596818,3056,1015,1460,5531
tensorflow_tfjs_sentiment.csv,57.54170922710249,17.024174327545115,25.4341164453524,3380,1000,1494,5874
pytorch_examples_sentiment.csv,53.328402366863905,17.973372781065088,28.698224852071007,721,243,388,1352
deezer_spleeter_sentiment.csv,63.61336032388664,13.157894736842104,23.228744939271255,1257,260,459,1976
junyanz_pytorch-CycleGAN-and-pix2pix_sentiment.csv,50.16257759385161,16.878510198049067,32.95891220809932,1697,571,1115,3383
ray-project_ray_sentiment.csv,52.71069076169566,16.433034960310756,30.856274277993585,3121,973,1827,5921
spmallick_learnopencv_sentiment.csv,44.41913439635535,18.223234624145785,37.357630979498865,195,80,164,439
google-research_google-research_sentiment.csv,59.87493486190725,17.561229807191246,22.56383533090151,1149,337,433,1919
jantic_DeOldify_sentiment.csv,66.38418079096046,15.819209039548024,17.796610169491526,705,168,189,1062
streamlit_streamlit_sentiment.csv,65.63210702341136,14.08695652173913,20.2809364548495,4906,1053,1516,7475
apple_turicreate_sentiment.csv,59.75219824140687,14.188649080735411,26.059152677857718,2990,710,1304,5004
slundberg_shap_sentiment.csv,60.230040595399196,17.53721244925575,22.23274695534506,4451,1296,1643,7390
flairNLP_flair_sentiment.csv,63.1855309218203,14.542007001166862,22.272462077012836,4332,997,1527,6856
Unity-Technologies_ml-agents_sentiment.csv,57.772406098921536,16.99516548902938,25.23242841204909,3107,914,1357,5378
ddbourgin_numpy-ml_sentiment.csv,73.88059701492537,11.194029850746269,14.925373134328357,99,15,20,134
allenai_allennlp_sentiment.csv,62.32498394348105,16.480411046885035,21.19460500963391,4852,1283,1650,7785
deepmind_sonnet_sentiment.csv,63.1768953068592,12.454873646209386,24.368231046931406,350,69,135,554
pytorch_fairseq_sentiment.csv,55.9720139930035,16.72497084790938,27.303015159087124,3360,1004,1639,6003
rusty1s_pytorch_geometric_sentiment.csv,59.698656169404096,18.18922220713995,22.112121623455952,4398,1340,1629,7367
microsoft_ai-edu_sentiment.csv,43.58974358974359,15.384615384615385,41.02564102564102,34,12,32,78
hanxiao_bert-as-service_sentiment.csv,57.78421433743664,15.278783490224477,26.937002172338886,798,211,372,1381
EpistasisLab_tpot_sentiment.csv,60.281989890928436,14.232508645916466,25.485501463155096,2266,535,958,3759
keras-team_autokeras_sentiment.csv,60.76071256620125,12.855079441502168,26.38420799229658,1262,267,548,2077
uber_ludwig_sentiment.csv,61.67039522744221,17.841163310961967,20.488441461595823,3308,957,1099,5364
mlflow_mlflow_sentiment.csv,57.00069428373061,13.376533209905114,29.62277250636427,2463,578,1280,4321
pytorch_vision_sentiment.csv,61.63592848092355,20.45614529072223,17.907926228354217,4378,1453,1272,7103
bulletphysics_bullet3_sentiment.csv,64.23370319001387,15.221914008321773,20.544382801664355,3705,878,1185,5768
microsoft_nni_sentiment.csv,54.786184210526315,16.06907894736842,29.144736842105264,3331,977,1772,6080
pyro-ppl_pyro_sentiment.csv,64.39843636890112,15.491530331547706,20.11003329955118,4448,1070,1389,6907
facebookresearch_ParlAI_sentiment.csv,59.28027474988801,16.11169180229954,24.608033447812453,3970,1079,1648,6697
tensorlayer_tensorlayer_sentiment.csv,54.24785658612626,13.172252533125487,32.579890880748245,696,169,418,1283
apachecn_Interview_sentiment.csv,40.0,20.0,40.0,2,1,2,5
PyTorchLightning_pytorch-lightning_sentiment.csv,61.642347097174785,15.787022663769015,22.570630239056193,3971,1017,1454,6442
facebookresearch_pytext_sentiment.csv,53.65853658536586,13.240418118466899,33.10104529616725,154,38,95,287
OpenMined_PySyft_sentiment.csv,55.30923994038748,15.83457526080477,28.85618479880775,2969,850,1549,5368
tensorpack_tensorpack_sentiment.csv,53.80798274002158,17.79935275080906,28.392664509169364,2494,825,1316,4635
albumentations-team_albumentations_sentiment.csv,48.70492635855764,21.381411884205182,29.913661757237175,959,421,589,1969
cortexlabs_cortex_sentiment.csv,67.55020080321286,11.08433734939759,21.365461847389557,841,138,266,1245
pymc-devs_pymc3_sentiment.csv,59.67880699741899,17.780326928591915,22.5408660739891,4162,1240,1572,6974
dmlc_dgl_sentiment.csv,53.80952380952381,13.877551020408163,32.31292517006803,791,204,475,1470
